"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
bq_resp,background_questionnaire,"<font size=4><center>Background Questionnaire</center>   
<font size=3>Please answer to the best of your ability by selecting the response that best describes your situation.",radio,"Completed by:","1, Mother | 2, Father | 3, Legal Guardian | 4, Other",,,,,,,y,,,bq_resp,,
bqinst1,background_questionnaire,,descriptive,"<div class=""dark blue""> <font size = ""3""> <b> The following questions ask about [initial_visit_arm_1][name]'s demographic information.",,,,,,,,,,,,,
sex,background_questionnaire,,radio,"What is [initial_visit_arm_1][name]'s sex? ","1, Male | 2, Female",,,,,,,y,,1,,,
dob,background_questionnaire,,text,"What is [initial_visit_arm_1][name]'s date of birth? ",,(mm-dd-yyyy),date_mdy,,,y,,y,,2,,," @HIDEBUTTON"
screen_date,background_questionnaire,,text,"What is today's date? ",,(mm-dd-yyyy),date_mdy,,,y,,y,,3,,,
screen_age,background_questionnaire,,calc,"<span style = ""font-weight:normal;"">What is [initial_visit_arm_1][name]'s age?","roundup(datediff([screen_date],[dob],""y"",""mdy""),2)",,,,,,,,,,,,
current_age,background_questionnaire,,calc,"<center><div class = ""gray""><font size = 3><font color = ""#9e42f4""><b>Current age","roundup(datediff(""today"",[dob],""y"",""mdy""),2)",,,,,,,,,,,," @HIDDEN-SURVEY"
language,background_questionnaire,,radio,"What is [initial_visit_arm_1][name]'s main language at home? ","1, English | 2, Other",,,,,,,y,,4,,,
otherlang,background_questionnaire,,text,"<span style = ""font-weight:normal;"">If other, please specify",,,,,,,"[language] = 2",,,,,,
elg_language,background_questionnaire,,yesno,"<center><div class = ""gray""><font size = 3><font color = ""#9e42f4""><b>English as the primary home language",,,,,,,,y,,,,," @HIDDEN-SURVEY"
race,background_questionnaire,,checkbox,"What is [initial_visit_arm_1][name]'s race? (check all that apply)","1, White | 2, Black/African American | 3, Asian | 4, American Indian or Alaska Native | 5, Native Hawaiian or Other Pacific Islanders | 6, Other | 999, Prefer not to Answer",,,,,,,y,,5,,," @NONEOFTHEABOVE = 999"
