"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
check_problems,checkin_followup,"<font size=4><b><center>Learning to Listen Study Check-in
",calc,"<center><div class = ""gray""><font size = 3><font color = ""#9e42f4""><b>Is [study_information_arm_1][record_id] experiencing any problems with their Opn hearing aids and/or ConnectClip?","if([aid_probs(0)]=1 and [aid_normal]=1 and [clip_probs(0)]=1 and [support(0)]=1,0,1)","0 = No; 1 = Yes",,,,,,,,,,," @HIDDEN-SURVEY"
check_resp,checkin_followup,,radio,"Completed by:","1, Mother | 2, Father | 3, Legal Guardian | 4, Other",,,,,,,y,,,check_resp,,
check_date,checkin_followup,,text,"Today's Date",,,date_mdy,,,y,,y,,,,,
check_inst,checkin_followup,,descriptive,"<div class = ""blue""><font size=3><center><b>A. Opn hearing aids</center>
Please answer the following questions about the Opn hearing aids and ConnectClip provided as part of the study. Please make sure to complete the questionnaire to indicate if you need any study support at the end of the survey.",,,,,,,,,,,,,
aid_probs,checkin_followup,,checkbox,"Has [initial_visit_arm_1][name] had any difficulties with, complaints about, or negative reactions to the Opn hearing aids or moulds, such as:","1, Technical problems (whistling, reduced amplification, tubing, etc.) | 2, Medical concerns (ear infection, swimmer's ear, other ear pain, etc.) | 3, Discomfort | 4, Poor fit | 5, Damaged (cracked casing, submerged in water, etc.) | 6, Hard to keep track of (lost, misplaced, etc.) | 7, Not user-friendly | 8, Poor sound quality | 9, Unattractive appearance | 10, Other | 0, None",,,,,,,y,LV,1,,," @NONEOFTHEABOVE = 0"
aid_recovered,checkin_followup,,yesno,"<span style = ""font-weight:normal;"">Have the hearing aid(s) or mould(s) been found or repaired?",,,,,,,"[aid_probs(5)] = '1' or [aid_probs(6)] = '1'",y,,,,,
aid_probs_deats,checkin_followup,,text,"<span style = ""font-weight:normal;"">Further details",,,,,,,"[aid_probs(1)] = '1' or [aid_probs(2)] = '1' or [aid_probs(3)] = '1' or [aid_probs(4)] = '1' or [aid_probs(5)] = '1' or [aid_probs(6)] = '1' or [aid_probs(7)] = '1' or [aid_probs(8)] = '1' or [aid_probs(9)] = '1' or [aid_probs(10)] = '1'",,,,,,
aid_listen,checkin_followup,,radio,"How often do you <u>listen</u> to and check [initial_visit_arm_1][name]'s Opn hearing aids?","0, Never | 1, Monthly | 2, Weekly | 3, Daily",,,,,,,y,RH,2,,,
aid_normal,checkin_followup,,yesno,"<span style = ""font-weight:normal;"">Are [initial_visit_arm_1][name]'s hearing aids functioning normally?",,,,,,,,y,,,,,
aid_normal_deats,checkin_followup,,text,"<span style = ""font-weight:normal;"">Further details",,,,,,,"[aid_normal] = '0'",,,,,,
aid_usage,checkin_followup,,descriptive,"In the past month, how many <u>hours a day</u> did [initial_visit_arm_1][name] wear the Opn hearing aids (on average)?",,,,,,,,,,3,,,
aid_usage_mf,checkin_followup,,radio,"<span style = ""font-weight:normal;"">Monday-Friday","0, None | 1, 0+ to 3 hrs | 2, 3+ to 5 hrs | 3, 5+ to 8 hrs | 4, 8+ to 10 hrs | 5, 10+ hrs",,,,,,,y,,,aid_usage,,
aid_usage_ss,checkin_followup,,radio,"<span style = ""font-weight:normal;"">Saturday-Sunday","0, None | 1, 0+ to 3 hrs | 2, 3+ to 5 hrs | 3, 5+ to 8 hrs | 4, 8+ to 10 hrs | 5, 10+ hrs",,,,,,,y,,,aid_usage,,
aid_sleep,checkin_followup,,radio,"How quickly does [initial_visit_arm_1][name] turn on the Opn hearing aids after waking from sleep (morning or nap)?","0, Immediately | 1, 0+ to 30 mins | 2, 30+ to 60 mins | 3, 1+ to 2 hrs | 4, 2+ hrs",,,,,,,y,,4,aid_sleep,,
aid_scenario,checkin_followup,,descriptive,"Indicate how consistently [initial_visit_arm_1][name] uses the Opn hearing aids in the situations listed:",,,,,,,,,,5,,,
aid_scenario1,checkin_followup,,radio,"<span style = ""font-weight:normal;"">Car","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always | 999, N/A",,,,,,,y,,,aid_scenario,,
