"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
gcbi_resp1,glasgow_childrens_benefit_inventory_initial,"<font size = 4> <b> <center> Glasgow Children's Benefit Inventory",radio,"Completed by:","1, Mother | 2, Father | 3, Legal Guardian | 4, Other",,,,,,,y,,,gcbi_resp1,,
gcbi_date1,glasgow_childrens_benefit_inventory_initial,,text,"Today's Date",,,date_mdy,,,y,,y,,,,,
gcbi_inst101,glasgow_childrens_benefit_inventory_initial,,descriptive,"<div class=""blue""><font size=3>In this questionnaire, we are interested to know how much change you think there has been in [initial_visit_arm_1][name]'s general condition since receiving his/her <b><i>current</i></b> hearing aids.",,,,,,,,,,,,,
gcbi101,glasgow_childrens_benefit_inventory_initial,,radio,"<paragraph style = ""font-weight:normal"">Has [initial_visit_arm_1][name]'s <b><i>current</i></b> hearing aids made his/her overall life better or worse?","2, Much better | 1, A little better | 0, No change | -1, A little worse | -2, Much worse",,,,,,,y,,1,gcbi101_108,,
gcbi102,glasgow_childrens_benefit_inventory_initial,,radio,"<paragraph style = ""font-weight:normal"">Has [initial_visit_arm_1][name]'s <b><i>current</i></b> hearing aids affected the things he/she does?","2, Much better | 1, A little better | 0, No change | -1, A little worse | -2, Much worse",,,,,,,y,,2,gcbi101_108,,
gcbi103,glasgow_childrens_benefit_inventory_initial,,radio,"<paragraph style = ""font-weight:normal"">Has [initial_visit_arm_1][name]'s <b><i>current</i></b> hearing aids made his/her behavior better or worse?","2, Much better | 1, A little better | 0, No change | -1, A little worse | -2, Much worse",,,,,,,y,,3,gcbi101_108,,
gcbi104,glasgow_childrens_benefit_inventory_initial,,radio,"<paragraph style = ""font-weight:normal"">Has [initial_visit_arm_1][name]'s <b><i>current</i></b> hearing aids affected his/her progress and development?","2, Much better | 1, A little better | 0, No change | -1, A little worse | -2, Much worse",,,,,,,y,,4,gcbi101_108,,
gcbi105,glasgow_childrens_benefit_inventory_initial,,radio,"<paragraph style = ""font-weight:normal"">Has [initial_visit_arm_1][name]'s <b><i>current</i></b> hearing aids affected how lively he/she is during the day?","2, Much better | 1, A little better | 0, No change | -1, A little worse | -2, Much worse",,,,,,,y,,5,gcbi101_108,,
gcbi106,glasgow_childrens_benefit_inventory_initial,,radio,"<paragraph style = ""font-weight:normal"">Has [initial_visit_arm_1][name]'s <b><i>current</i></b> hearing aids affected how well he/she sleeps at night?","2, Much better | 1, A little better | 0, No change | -1, A little worse | -2, Much worse",,,,,,,y,,6,gcbi101_108,,
gcbi107,glasgow_childrens_benefit_inventory_initial,,radio,"<paragraph style = ""font-weight:normal"">Has [initial_visit_arm_1][name]'s <b><i>current</i></b> hearing aids affected his/her enjoyment of food?","2, Much better | 1, A little better | 0, No change | -1, A little worse | -2, Much worse",,,,,,,y,,7,gcbi101_108,,
