"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ppfc_tester,promis_child,"<font size = 4> <b> <center> PROMIS Pediatric Fatigue - Short Form",radio,"Completed by:","1, JTP | 2, EKC",,,,,,,,,,ppfc_tester,,
ppfc_instruct,promis_child,,descriptive,"<font size = 3><center>Please <font color = ""red"">verbally ask <font color = ""black"">the participant each question or statement while reciting their answer options. Mark one box per row. Questions apply for the past 7 days or so.",,,,,,,,,,,,,
ppfc_1,promis_child,,radio,"<paragraph style = ""font-weight:normal"">Being tired made it hard for me to play or go out with friends as much as I would like.","2, Almost Always | 1, Often | 0, Sometimes | -1, Almost Never | -2, Never",,,,,,,,,,ppfc_qs,,
ppfc_2,promis_child,,radio,"<paragraph style = ""font-weight:normal"">I felt weak.","2, Almost Always | 1, Often | 0, Sometimes | -1, Almost Never | -2, Never",,,,,,,,,,ppfc_qs,,
ppfc_3,promis_child,,radio,"<paragraph style = ""font-weight:normal"">I got tired easily.","2, Almost Always | 1, Often | 0, Sometimes | -1, Almost Never | -2, Never",,,,,,,,,,ppfc_qs,,
ppfc_4,promis_child,,radio,"<paragraph style = ""font-weight:normal"">Being tired made it hard for me to keep up with my school work.","2, Almost Always | 1, Often | 0, Sometimes | -1, Almost Never | -2, Never",,,,,,,,,,ppfc_qs,,
ppfc_5,promis_child,,radio,"<paragraph style = ""font-weight:normal"">I had trouble finishing things because I was too tired.","2, Almost Always | 1, Often | 0, Sometimes | -1, Almost Never | -2, Never",,,,,,,,,,ppfc_qs,,
ppfc_6,promis_child,,radio,"<paragraph style = ""font-weight:normal"">I had trouble starting things because I was too tired.","2, Almost Always | 1, Often | 0, Sometimes | -1, Almost Never | -2, Never",,,,,,,,,,ppfc_qs,,
ppfc_7,promis_child,,radio,"<paragraph style = ""font-weight:normal"">I was so tired it was hard for me to pay attention.","2, Almost Always | 1, Often | 0, Sometimes | -1, Almost Never | -2, Never",,,,,,,,,,ppfc_qs,,
ppfc_8,promis_child,,radio,"<paragraph style = ""font-weight:normal"">I was too tired to do sports or exercise.","2, Almost Always | 1, Often | 0, Sometimes | -1, Almost Never | -2, Never",,,,,,,,,,ppfc_qs,,
ppfc_9,promis_child,,radio,"<paragraph style = ""font-weight:normal"">I was too tired to do things outside.","2, Almost Always | 1, Often | 0, Sometimes | -1, Almost Never | -2, Never",,,,,,,,,,ppfc_qs,,
ppfc_10,promis_child,,radio,"<paragraph style = ""font-weight:normal"">I was too tired to enjoy the things I like to do.","2, Almost Always | 1, Often | 0, Sometimes | -1, Almost Never | -2, Never",,,,,,,,,,ppfc_qs,,
raw_child,promis_child,,text,"Raw Score",,,,,,,,,,,,,
t_score_child,promis_child,,text,T-score,,,,,,,,,,,,,
se_child,promis_child,,text,SE,,,,,,,,,,,,,
usable_child,promis_child,,radio,"Include Data in Analysis?","1, Yes | 0, No",,,,,,,,,,,,
usable_child_reason,promis_child,,text,Reason,,,,,,,"[usable_child] = '0'",,,,,,
